id,material,quantity,source,carbon_savings,project_location,used_in_project,date_added
8827,Geopolymer,430,Sustainable Works,1260.97,San Francisco,Yes,2023-05-22
8828,Recycled Plastic,932,EcoCement Co.,4124.37,Miami,No,2023-10-04
8829,Geopolymer,461,EarthInnovations,2226.98,San Francisco,Yes,2023-01-28
8830,Rammed Earth,327,EcoCement Co.,1495.74,Denver,Yes,2023-03-15
8831,Straw Bale,874,GreenBuild Ltd.,3643.41,New York,Yes,2023-03-08
8832,Bamboo Fiber,167,PlasticCycle,638.14,Denver,No,2023-10-22
8833,Rammed Earth,881,PlasticCycle,4038.12,Denver,Yes,2023-10-01
8834,Geopolymer,644,Sustainable Works,1353.19,Austin,No,2023-02-14
8835,Bamboo Fiber,423,EarthInnovations,2032.74,Denver,No,2023-04-07
8836,Bamboo Fiber,241,NatureBricks,880.77,San Francisco,No,2023-04-01
8837,Hempcrete,638,EcoCement Co.,1960.48,San Francisco,No,2023-03-26
8838,Geopolymer,143,Sustainable Works,707.95,Austin,Yes,2023-11-27
8839,Rammed Earth,872,EcoCement Co.,2736.3,Houston,No,2023-02-07
8840,Straw Bale,342,GreenBuild Ltd.,703.23,Miami,No,2023-03-18
8841,Hempcrete,118,EarthInnovations,512.35,Miami,Yes,2023-01-28
8842,Straw Bale,783,NatureBricks,1767.86,Seattle,No,2023-11-29
8843,Geopolymer,449,GreenBuild Ltd.,1042.58,Los Angeles,Yes,2023-10-15
8844,Bamboo Fiber,568,Sustainable Works,1520.97,San Francisco,No,2023-05-15
8845,Straw Bale,385,GreenBuild Ltd.,1720.41,Denver,Yes,2023-07-08
8846,Recycled Plastic,113,NatureBricks,321.26,Los Angeles,No,2023-12-29
8847,Bamboo Fiber,200,Sustainable Works,677.16,Los Angeles,No,2023-01-20
8848,Straw Bale,694,EcoCement Co.,1655.12,Seattle,Yes,2023-03-26
8849,Recycled Plastic,553,EarthInnovations,1353.08,Los Angeles,No,2023-05-25
8850,Bamboo Fiber,704,PlasticCycle,3048.41,Boston,No,2023-11-29
8851,Hempcrete,418,GreenBuild Ltd.,2084.17,Boston,Yes,2023-09-12
8852,Hempcrete,636,EcoCement Co.,1414.25,Seattle,Yes,2023-07-01
8853,Rammed Earth,707,PlasticCycle,2174.58,Miami,No,2023-09-05
8854,Straw Bale,855,GreenBuild Ltd.,3216.44,Austin,Yes,2023-02-19
8855,Straw Bale,327,Sustainable Works,1193.23,Austin,No,2023-03-01
8856,Straw Bale,408,Sustainable Works,1762.87,Denver,No,2023-11-27
8857,Straw Bale,203,PlasticCycle,965.84,San Francisco,No,2023-07-23
8858,Geopolymer,367,Sustainable Works,1033.59,Austin,No,2023-11-04
8859,Bamboo Fiber,242,EcoCement Co.,1151.03,Austin,Yes,2023-05-06
8860,Rammed Earth,678,EcoCement Co.,3102.5,Austin,Yes,2023-10-02
8861,Hempcrete,644,EarthInnovations,2354.32,Austin,No,2023-12-03
8862,Bamboo Fiber,702,EarthInnovations,2912.1,New York,Yes,2023-11-27
8863,Bamboo Fiber,405,PlasticCycle,1248.07,Miami,No,2023-07-29
8864,Hempcrete,978,Sustainable Works,2044.27,Denver,No,2023-09-15
8865,Recycled Plastic,979,GreenBuild Ltd.,2331.09,Los Angeles,No,2023-03-04
8866,Hempcrete,923,EcoCement Co.,4167.11,Miami,No,2023-04-14
8867,Recycled Plastic,783,Sustainable Works,2346.89,Los Angeles,No,2023-09-10
8868,Bamboo Fiber,670,EcoCement Co.,2927.74,Austin,No,2023-03-17
8869,Bamboo Fiber,348,EcoCement Co.,906.49,Seattle,No,2023-02-27
8870,Recycled Plastic,860,EarthInnovations,2276.0,Chicago,No,2023-05-26
8871,Hempcrete,389,EarthInnovations,1649.88,Boston,No,2023-10-30
8872,Rammed Earth,775,EcoCement Co.,1658.06,Austin,No,2023-10-01
8873,Recycled Plastic,460,EcoCement Co.,1253.03,New York,No,2023-08-14
8874,Straw Bale,250,PlasticCycle,1148.24,Chicago,Yes,2023-12-15
8875,Rammed Earth,922,NatureBricks,4124.56,Miami,Yes,2023-02-05
8876,Recycled Plastic,778,NatureBricks,1972.73,Seattle,No,2023-07-11
8877,Bamboo Fiber,445,GreenBuild Ltd.,2207.48,Houston,Yes,2023-10-05
8878,Straw Bale,698,PlasticCycle,3263.39,San Francisco,Yes,2023-04-16
8879,Straw Bale,182,EarthInnovations,642.19,Chicago,No,2023-05-23
8880,Recycled Plastic,869,Sustainable Works,2830.95,San Francisco,No,2023-09-30
8881,Geopolymer,876,NatureBricks,3598.65,New York,No,2023-12-12
8882,Bamboo Fiber,992,GreenBuild Ltd.,3203.8,San Francisco,Yes,2023-05-16
8883,Rammed Earth,906,GreenBuild Ltd.,3244.39,Los Angeles,No,2023-07-17
8884,Hempcrete,976,PlasticCycle,4437.91,Seattle,No,2023-11-29
8885,Geopolymer,646,GreenBuild Ltd.,1713.99,Denver,Yes,2023-07-14
8886,Rammed Earth,394,Sustainable Works,1750.08,Chicago,No,2023-01-07
8887,Hempcrete,255,GreenBuild Ltd.,864.47,New York,No,2023-08-14
8888,Rammed Earth,566,NatureBricks,1890.48,New York,Yes,2023-07-07
8889,Recycled Plastic,595,GreenBuild Ltd.,1963.41,Los Angeles,No,2023-03-21
8890,Straw Bale,198,EarthInnovations,650.38,Austin,Yes,2023-03-13
8891,Hempcrete,604,GreenBuild Ltd.,2296.35,Chicago,Yes,2023-02-11
8892,Geopolymer,318,PlasticCycle,1110.47,New York,No,2023-12-29
8893,Bamboo Fiber,536,PlasticCycle,2135.77,Austin,Yes,2023-08-02
8894,Rammed Earth,499,EcoCement Co.,2438.89,Denver,Yes,2023-12-05
8895,Straw Bale,208,PlasticCycle,987.34,San Francisco,No,2023-04-09
8896,Hempcrete,868,GreenBuild Ltd.,2548.23,New York,No,2023-12-22
8897,Rammed Earth,734,EcoCement Co.,1874.72,San Francisco,No,2023-03-31
8898,Straw Bale,104,EcoCement Co.,440.88,Los Angeles,Yes,2023-10-31
8899,Recycled Plastic,226,GreenBuild Ltd.,649.21,Chicago,Yes,2023-01-28
8900,Bamboo Fiber,389,NatureBricks,1466.08,Austin,Yes,2023-03-11
8901,Straw Bale,737,PlasticCycle,1908.38,Seattle,No,2023-01-10
8902,Rammed Earth,272,EarthInnovations,649.28,Boston,Yes,2023-12-02
8903,Geopolymer,453,PlasticCycle,2073.42,Los Angeles,No,2023-09-24
8904,Straw Bale,130,Sustainable Works,599.14,Boston,No,2023-01-19
8905,Geopolymer,555,NatureBricks,1834.0,Miami,No,2023-02-19
8906,Bamboo Fiber,510,EcoCement Co.,1875.53,Austin,No,2023-12-12
8907,Bamboo Fiber,858,PlasticCycle,4098.74,Seattle,No,2023-02-19
8908,Hempcrete,500,PlasticCycle,2137.58,Seattle,No,2023-04-08
8909,Geopolymer,971,EcoCement Co.,2156.94,Miami,Yes,2023-07-01
8910,Recycled Plastic,562,EarthInnovations,1287.02,Miami,Yes,2023-05-01
8911,Straw Bale,240,PlasticCycle,579.42,Miami,No,2023-06-16
8912,Straw Bale,166,EcoCement Co.,428.9,Boston,No,2023-09-24
8913,Hempcrete,276,PlasticCycle,654.9,Houston,Yes,2023-01-08
8914,Recycled Plastic,742,PlasticCycle,3600.42,Denver,Yes,2023-07-03
8915,Recycled Plastic,566,GreenBuild Ltd.,1162.17,San Francisco,Yes,2023-04-14
8916,Geopolymer,627,GreenBuild Ltd.,2417.72,Chicago,Yes,2023-05-12
8917,Geopolymer,602,GreenBuild Ltd.,1531.21,Los Angeles,No,2023-11-19
8918,Geopolymer,518,EcoCement Co.,1711.89,Houston,Yes,2023-12-15
8919,Recycled Plastic,255,GreenBuild Ltd.,872.59,Houston,No,2023-08-20
8920,Rammed Earth,861,PlasticCycle,4174.0,Houston,Yes,2023-12-29
8921,Geopolymer,256,EarthInnovations,629.46,Seattle,No,2023-02-23
8922,Bamboo Fiber,736,EarthInnovations,1830.23,Boston,Yes,2023-05-22
8923,Hempcrete,125,EarthInnovations,531.16,Seattle,No,2023-04-03
8924,Bamboo Fiber,858,PlasticCycle,2933.5,Seattle,No,2023-10-10
8925,Hempcrete,536,EarthInnovations,1663.49,Denver,Yes,2023-12-16
8926,Straw Bale,953,PlasticCycle,3967.16,Houston,Yes,2023-09-30
8927,Recycled Plastic,459,GreenBuild Ltd.,1204.42,New York,Yes,2023-10-31
8928,Straw Bale,396,EcoCement Co.,1625.4,Boston,Yes,2023-11-25
8929,Bamboo Fiber,772,PlasticCycle,1627.91,San Francisco,No,2023-01-25
8930,Recycled Plastic,588,EcoCement Co.,1539.98,New York,Yes,2023-07-31
8931,Recycled Plastic,423,EcoCement Co.,858.78,Boston,Yes,2023-06-14
8932,Rammed Earth,842,NatureBricks,3506.17,Seattle,No,2023-01-03
8933,Geopolymer,886,PlasticCycle,1999.91,Los Angeles,Yes,2023-06-05
8934,Rammed Earth,410,PlasticCycle,1413.06,Miami,No,2023-06-09
8935,Rammed Earth,450,NatureBricks,1905.65,Chicago,No,2023-03-13
8936,Straw Bale,979,PlasticCycle,4078.1,Austin,Yes,2023-04-17
8937,Recycled Plastic,174,GreenBuild Ltd.,602.01,Los Angeles,Yes,2023-07-07
8938,Geopolymer,231,Sustainable Works,582.99,Miami,No,2023-09-13
8939,Recycled Plastic,106,Sustainable Works,272.78,Boston,No,2023-10-28
8940,Hempcrete,829,Sustainable Works,2603.62,Boston,Yes,2023-11-08
8941,Recycled Plastic,186,GreenBuild Ltd.,695.47,Houston,No,2023-03-05
8942,Bamboo Fiber,465,PlasticCycle,969.83,Seattle,Yes,2023-03-18
8943,Recycled Plastic,639,EcoCement Co.,1578.72,Houston,No,2023-02-07
8944,Rammed Earth,682,NatureBricks,1673.81,Chicago,Yes,2023-05-18
8945,Rammed Earth,436,EarthInnovations,1125.6,Miami,Yes,2023-03-29
8946,Geopolymer,938,GreenBuild Ltd.,2632.25,Houston,Yes,2023-04-26
8947,Straw Bale,878,EarthInnovations,2235.44,Seattle,No,2023-02-11
8948,Hempcrete,345,Sustainable Works,1482.79,Denver,Yes,2023-11-20
8949,Recycled Plastic,168,EarthInnovations,773.73,Los Angeles,No,2023-09-07
8950,Geopolymer,905,Sustainable Works,2344.13,Boston,No,2023-03-16
8951,Rammed Earth,833,EcoCement Co.,3398.16,Denver,Yes,2023-07-05
8952,Recycled Plastic,736,EcoCement Co.,1835.35,Austin,No,2023-06-25
8953,Geopolymer,421,NatureBricks,1957.77,San Francisco,No,2023-09-10
8954,Rammed Earth,305,NatureBricks,694.69,Los Angeles,No,2023-10-11
8955,Bamboo Fiber,235,EarthInnovations,544.03,Seattle,Yes,2023-10-15
8956,Bamboo Fiber,267,PlasticCycle,993.74,Austin,No,2023-07-16
8957,Rammed Earth,218,EarthInnovations,777.36,Miami,No,2023-06-14
8958,Recycled Plastic,406,EarthInnovations,1324.07,Denver,No,2023-09-24
8959,Hempcrete,808,PlasticCycle,3467.8,Boston,No,2023-04-07
8960,Geopolymer,591,GreenBuild Ltd.,2122.1,Miami,No,2023-06-27
8961,Rammed Earth,706,GreenBuild Ltd.,2955.82,Denver,No,2023-02-19
8962,Bamboo Fiber,150,EcoCement Co.,348.71,Los Angeles,Yes,2023-10-26
8963,Bamboo Fiber,214,NatureBricks,945.41,Miami,Yes,2023-11-14
8964,Rammed Earth,616,EcoCement Co.,1565.5,Boston,Yes,2023-09-27
8965,Hempcrete,852,NatureBricks,3951.71,Houston,No,2023-04-26
8966,Rammed Earth,171,EarthInnovations,465.36,New York,No,2023-05-04
8967,Hempcrete,334,Sustainable Works,1343.65,San Francisco,No,2023-11-16
8968,Hempcrete,288,NatureBricks,944.51,Houston,Yes,2023-12-19
8969,Recycled Plastic,909,PlasticCycle,3136.64,Miami,No,2023-05-20
8970,Straw Bale,454,NatureBricks,2256.63,Boston,No,2023-06-26
8971,Hempcrete,121,Sustainable Works,420.56,Houston,Yes,2023-02-05
8972,Geopolymer,479,PlasticCycle,1931.2,New York,Yes,2023-09-29
8973,Straw Bale,683,PlasticCycle,3310.38,Denver,No,2023-08-20
8974,Straw Bale,760,EarthInnovations,3787.27,San Francisco,No,2023-10-12
8975,Recycled Plastic,195,EcoCement Co.,539.3,Miami,Yes,2023-01-19
8976,Hempcrete,244,EarthInnovations,1171.29,Denver,Yes,2023-03-12
8977,Rammed Earth,349,PlasticCycle,914.61,Miami,No,2023-01-01
8978,Straw Bale,778,GreenBuild Ltd.,1785.7,Seattle,No,2023-10-13
8979,Straw Bale,602,PlasticCycle,2192.85,Austin,No,2023-03-19
8980,Straw Bale,157,NatureBricks,532.7,New York,Yes,2023-09-09
8981,Geopolymer,567,NatureBricks,1438.77,Los Angeles,Yes,2023-10-07
8982,Straw Bale,231,PlasticCycle,474.09,Chicago,No,2023-06-09
8983,Straw Bale,811,EarthInnovations,2142.8,Seattle,Yes,2023-04-28
8984,Bamboo Fiber,234,GreenBuild Ltd.,1139.44,Miami,No,2023-04-25
8985,Recycled Plastic,665,NatureBricks,2334.45,New York,Yes,2023-01-18
8986,Recycled Plastic,387,NatureBricks,1413.59,Seattle,Yes,2023-01-23
8987,Hempcrete,345,Sustainable Works,1591.39,Seattle,No,2023-12-11
8988,Hempcrete,220,EarthInnovations,726.02,Denver,No,2023-05-01
8989,Hempcrete,262,EarthInnovations,1057.5,Austin,Yes,2023-03-13
8990,Hempcrete,427,NatureBricks,1954.19,New York,No,2023-10-23
8991,Hempcrete,299,PlasticCycle,1280.74,Seattle,No,2023-05-29
8992,Hempcrete,624,NatureBricks,2369.86,San Francisco,Yes,2023-07-15
8993,Straw Bale,536,Sustainable Works,2571.77,Miami,Yes,2023-01-09
8994,Straw Bale,178,NatureBricks,479.63,Seattle,Yes,2023-04-28
8995,Geopolymer,829,Sustainable Works,4061.66,Denver,No,2023-03-13
8996,Rammed Earth,934,PlasticCycle,4212.01,Chicago,No,2023-05-08
8997,Hempcrete,347,GreenBuild Ltd.,1172.41,New York,No,2023-12-12
8998,Hempcrete,974,EarthInnovations,2981.14,Chicago,Yes,2023-05-09
8999,Recycled Plastic,318,GreenBuild Ltd.,1238.88,Houston,Yes,2023-08-06
9000,Recycled Plastic,259,PlasticCycle,1171.52,Austin,Yes,2023-12-08
9001,Bamboo Fiber,147,EcoCement Co.,508.53,New York,Yes,2023-10-31
9002,Recycled Plastic,646,GreenBuild Ltd.,1574.24,Chicago,No,2023-10-18
9003,Hempcrete,790,EcoCement Co.,2462.66,New York,Yes,2023-08-07
9004,Recycled Plastic,101,EarthInnovations,398.19,Chicago,Yes,2023-05-19
9005,Hempcrete,402,Sustainable Works,1519.46,Chicago,Yes,2023-10-16
9006,Recycled Plastic,432,PlasticCycle,1466.45,Miami,Yes,2023-06-30
9007,Geopolymer,666,Sustainable Works,1979.93,New York,Yes,2023-10-21
9008,Hempcrete,417,NatureBricks,1976.63,Chicago,No,2023-12-04
9009,Bamboo Fiber,911,EcoCement Co.,4177.35,Denver,Yes,2023-05-06
9010,Hempcrete,851,EarthInnovations,1972.65,Miami,No,2023-10-28
9011,Straw Bale,700,EarthInnovations,2132.1,Houston,Yes,2023-02-09
9012,Geopolymer,370,NatureBricks,1764.24,Boston,Yes,2023-10-17
9013,Straw Bale,991,EarthInnovations,4538.17,Seattle,Yes,2023-12-03
9014,Geopolymer,921,NatureBricks,4093.91,Los Angeles,Yes,2023-06-01
9015,Geopolymer,981,Sustainable Works,4121.13,Chicago,No,2023-08-24
9016,Geopolymer,506,Sustainable Works,2231.91,Los Angeles,No,2023-08-23
9017,Recycled Plastic,338,EarthInnovations,1414.13,San Francisco,No,2023-03-24
9018,Bamboo Fiber,692,EarthInnovations,2259.86,Boston,No,2023-01-31
9019,Recycled Plastic,636,EarthInnovations,1762.24,San Francisco,No,2023-07-05
9020,Rammed Earth,560,EcoCement Co.,1130.96,Boston,No,2023-09-01
9021,Hempcrete,744,NatureBricks,2350.04,Miami,No,2023-04-25
9022,Recycled Plastic,807,GreenBuild Ltd.,3981.4,Miami,No,2023-06-02
9023,Straw Bale,880,Sustainable Works,3213.73,San Francisco,Yes,2023-07-10
9024,Recycled Plastic,209,NatureBricks,989.05,San Francisco,No,2023-05-28
9025,Rammed Earth,489,GreenBuild Ltd.,1165.05,Miami,Yes,2023-07-24
9026,Hempcrete,901,EarthInnovations,4146.33,Chicago,Yes,2023-12-23
9027,Rammed Earth,753,GreenBuild Ltd.,1791.41,San Francisco,Yes,2023-09-24
9028,Recycled Plastic,141,NatureBricks,704.82,Miami,No,2023-10-27
9029,Hempcrete,328,Sustainable Works,707.79,Denver,No,2023-09-15
9030,Geopolymer,295,NatureBricks,1327.53,Boston,Yes,2023-07-18
9031,Geopolymer,144,Sustainable Works,346.19,Seattle,No,2023-04-15
9032,Bamboo Fiber,569,EcoCement Co.,1701.49,San Francisco,Yes,2023-04-13
9033,Hempcrete,265,EarthInnovations,737.16,Austin,Yes,2023-01-04
9034,Bamboo Fiber,960,Sustainable Works,2084.72,Boston,Yes,2023-06-02
9035,Recycled Plastic,921,GreenBuild Ltd.,3344.43,Houston,No,2023-02-06
9036,Recycled Plastic,114,NatureBricks,413.41,Houston,Yes,2023-12-28
9037,Hempcrete,594,NatureBricks,1840.62,Los Angeles,Yes,2023-06-13
9038,Recycled Plastic,340,Sustainable Works,1273.44,Boston,Yes,2023-09-05
9039,Geopolymer,989,EcoCement Co.,4820.55,Miami,No,2023-04-28
9040,Bamboo Fiber,910,PlasticCycle,4068.69,Los Angeles,Yes,2023-11-30
9041,Recycled Plastic,538,NatureBricks,2597.6,Los Angeles,Yes,2023-12-12
9042,Bamboo Fiber,513,EarthInnovations,1463.75,Seattle,Yes,2023-10-20
9043,Recycled Plastic,313,GreenBuild Ltd.,911.99,Boston,Yes,2023-01-06
9044,Hempcrete,489,EarthInnovations,1470.56,San Francisco,Yes,2023-06-27
9045,Hempcrete,208,EcoCement Co.,478.21,Denver,No,2023-03-08
9046,Bamboo Fiber,619,Sustainable Works,2228.78,Denver,No,2023-02-07
9047,Bamboo Fiber,394,PlasticCycle,994.13,New York,Yes,2023-07-15
9048,Recycled Plastic,938,EarthInnovations,3679.17,New York,Yes,2023-05-19
9049,Straw Bale,309,EcoCement Co.,1041.96,New York,Yes,2023-01-31
9050,Straw Bale,698,EarthInnovations,2710.14,Austin,No,2023-09-24
9051,Rammed Earth,355,Sustainable Works,1349.28,Austin,No,2023-03-05
9052,Recycled Plastic,611,Sustainable Works,2349.15,Miami,Yes,2023-04-25
9053,Recycled Plastic,963,Sustainable Works,3717.27,Seattle,Yes,2023-03-21
9054,Straw Bale,108,EcoCement Co.,220.28,Houston,No,2023-12-15
9055,Bamboo Fiber,719,EcoCement Co.,3571.31,Seattle,No,2023-03-11
9056,Straw Bale,793,Sustainable Works,2554.87,Houston,No,2023-11-20
9057,Straw Bale,498,GreenBuild Ltd.,1812.08,Seattle,Yes,2023-06-22
9058,Geopolymer,638,NatureBricks,3001.12,Seattle,No,2023-06-30
9059,Bamboo Fiber,174,NatureBricks,586.2,Los Angeles,Yes,2023-02-01
9060,Geopolymer,683,EcoCement Co.,3161.73,Miami,No,2023-09-05
9061,Bamboo Fiber,890,Sustainable Works,3311.27,Miami,Yes,2023-10-23
9062,Straw Bale,214,GreenBuild Ltd.,651.65,San Francisco,No,2023-07-30
9063,Bamboo Fiber,620,GreenBuild Ltd.,2114.24,San Francisco,Yes,2023-12-26
9064,Geopolymer,979,EcoCement Co.,3521.1,Chicago,No,2023-09-29
9065,Bamboo Fiber,357,EcoCement Co.,1148.16,Miami,Yes,2023-09-24
9066,Bamboo Fiber,484,GreenBuild Ltd.,1206.68,New York,No,2023-09-20
9067,Straw Bale,375,Sustainable Works,1144.03,Boston,No,2023-12-25
9068,Straw Bale,759,Sustainable Works,2688.33,Seattle,No,2023-01-24
9069,Bamboo Fiber,963,GreenBuild Ltd.,4632.31,Chicago,Yes,2023-05-04
9070,Straw Bale,414,Sustainable Works,1793.81,Houston,Yes,2023-04-30
9071,Geopolymer,328,PlasticCycle,874.29,Denver,No,2023-08-25
9072,Rammed Earth,243,GreenBuild Ltd.,723.97,Denver,Yes,2023-04-19
9073,Bamboo Fiber,232,NatureBricks,794.49,Denver,Yes,2023-01-05
9074,Bamboo Fiber,650,PlasticCycle,1466.24,Chicago,No,2023-01-13
9075,Straw Bale,928,GreenBuild Ltd.,3417.24,Los Angeles,No,2023-06-24
9076,Hempcrete,191,Sustainable Works,835.45,Austin,Yes,2023-11-21
9077,Recycled Plastic,979,GreenBuild Ltd.,3326.74,Chicago,No,2023-02-27
9078,Straw Bale,378,NatureBricks,1127.4,Austin,Yes,2023-05-11
9079,Rammed Earth,873,EcoCement Co.,2182.06,New York,No,2023-08-18
9080,Straw Bale,764,EcoCement Co.,1799.76,New York,Yes,2023-04-21
9081,Rammed Earth,237,GreenBuild Ltd.,501.53,Boston,Yes,2023-08-06
9082,Rammed Earth,233,GreenBuild Ltd.,836.87,Seattle,No,2023-06-19
9083,Rammed Earth,136,GreenBuild Ltd.,549.57,Houston,Yes,2023-01-15
9084,Rammed Earth,969,PlasticCycle,3837.54,Los Angeles,Yes,2023-05-25
9085,Rammed Earth,350,PlasticCycle,1422.04,New York,Yes,2023-06-13
9086,Rammed Earth,573,Sustainable Works,2199.54,Miami,No,2023-03-06
9087,Hempcrete,340,GreenBuild Ltd.,1385.55,Denver,No,2023-01-27
9088,Bamboo Fiber,853,NatureBricks,3404.11,Houston,No,2023-12-29
9089,Rammed Earth,290,Sustainable Works,1115.67,New York,Yes,2023-11-29
9090,Geopolymer,261,EcoCement Co.,1298.55,New York,No,2023-08-03
9091,Bamboo Fiber,377,EcoCement Co.,1425.06,Houston,Yes,2023-09-08
9092,Bamboo Fiber,735,EarthInnovations,2712.14,San Francisco,Yes,2023-07-13
9093,Recycled Plastic,845,NatureBricks,3939.75,San Francisco,No,2023-05-24
9094,Hempcrete,167,NatureBricks,481.33,Seattle,Yes,2023-08-18
9095,Recycled Plastic,375,EcoCement Co.,1085.41,Seattle,No,2023-10-09
9096,Straw Bale,182,NatureBricks,816.47,Miami,No,2023-03-19
9097,Straw Bale,170,EcoCement Co.,754.98,Miami,Yes,2023-08-05
9098,Geopolymer,433,NatureBricks,1726.7,Miami,Yes,2023-09-03
9099,Geopolymer,629,PlasticCycle,2050.01,New York,No,2023-06-16
9100,Bamboo Fiber,690,EarthInnovations,2106.05,Chicago,Yes,2023-05-02
9101,Rammed Earth,683,NatureBricks,2240.94,Boston,Yes,2023-06-19
9102,Straw Bale,340,GreenBuild Ltd.,1140.89,Denver,No,2023-05-01
9103,Straw Bale,113,Sustainable Works,501.48,Boston,No,2023-10-27
9104,Hempcrete,790,Sustainable Works,2263.06,Boston,No,2023-07-29
9105,Rammed Earth,269,PlasticCycle,1327.23,Chicago,Yes,2023-07-15
9106,Rammed Earth,464,PlasticCycle,1938.28,Chicago,Yes,2023-07-22
9107,Straw Bale,695,Sustainable Works,2260.33,Seattle,Yes,2023-08-28
9108,Hempcrete,289,EcoCement Co.,1299.65,New York,No,2023-02-12
9109,Geopolymer,159,Sustainable Works,483.22,Boston,No,2023-03-02
9110,Hempcrete,295,PlasticCycle,705.18,Austin,No,2023-02-20
9111,Recycled Plastic,356,GreenBuild Ltd.,712.04,Chicago,No,2023-08-22
9112,Recycled Plastic,805,Sustainable Works,1850.12,Houston,No,2023-04-22
9113,Bamboo Fiber,300,PlasticCycle,924.27,Seattle,Yes,2023-12-20
9114,Geopolymer,390,NatureBricks,1183.88,Boston,Yes,2023-03-13
9115,Bamboo Fiber,859,GreenBuild Ltd.,2674.02,Denver,Yes,2023-12-30
9116,Geopolymer,557,EcoCement Co.,1839.47,Austin,Yes,2023-12-15
9117,Straw Bale,689,Sustainable Works,2497.76,Chicago,Yes,2023-12-30
9118,Bamboo Fiber,921,GreenBuild Ltd.,2347.47,Miami,No,2023-07-28
9119,Recycled Plastic,370,EarthInnovations,1659.41,Houston,No,2023-11-15
9120,Rammed Earth,202,NatureBricks,661.39,Houston,Yes,2023-10-28
9121,Geopolymer,596,EarthInnovations,1282.21,San Francisco,Yes,2023-07-21
9122,Bamboo Fiber,435,PlasticCycle,1761.46,New York,No,2023-12-05
9123,Hempcrete,491,Sustainable Works,2412.42,Miami,Yes,2023-10-20
9124,Rammed Earth,246,NatureBricks,1222.91,Denver,No,2023-08-05
9125,Geopolymer,911,EarthInnovations,3723.73,Denver,No,2023-01-10
9126,Straw Bale,500,EcoCement Co.,1599.91,Austin,No,2023-11-01
9127,Recycled Plastic,166,Sustainable Works,441.44,Los Angeles,No,2023-05-08
9128,Bamboo Fiber,516,GreenBuild Ltd.,2566.49,Miami,No,2023-12-27
9129,Hempcrete,865,PlasticCycle,1867.65,Houston,Yes,2023-01-23
9130,Straw Bale,455,EcoCement Co.,2012.56,Seattle,No,2023-11-11
9131,Geopolymer,605,GreenBuild Ltd.,2092.41,New York,No,2023-03-08
9132,Recycled Plastic,120,EarthInnovations,352.1,Denver,Yes,2023-07-26
9133,Recycled Plastic,794,GreenBuild Ltd.,3394.18,Chicago,No,2023-05-03
9134,Recycled Plastic,729,PlasticCycle,2823.06,Denver,No,2023-03-29
9135,Recycled Plastic,304,EarthInnovations,724.21,Denver,No,2023-02-20
9136,Recycled Plastic,678,PlasticCycle,3297.22,Denver,Yes,2023-11-04
9137,Bamboo Fiber,750,GreenBuild Ltd.,1981.75,Boston,Yes,2023-10-01
9138,Rammed Earth,656,PlasticCycle,1614.22,Houston,No,2023-04-12
9139,Rammed Earth,486,EcoCement Co.,2043.68,Los Angeles,No,2023-06-24
9140,Geopolymer,364,PlasticCycle,804.82,Denver,No,2023-01-13
9141,Hempcrete,782,GreenBuild Ltd.,2407.73,Boston,No,2023-08-19
9142,Bamboo Fiber,542,NatureBricks,2132.55,Denver,No,2023-03-15
9143,Geopolymer,790,EarthInnovations,3133.27,Los Angeles,Yes,2023-08-11
9144,Rammed Earth,286,EcoCement Co.,589.71,Austin,No,2023-09-24
9145,Straw Bale,224,EarthInnovations,609.82,Miami,Yes,2023-04-05
9146,Rammed Earth,352,PlasticCycle,910.89,San Francisco,No,2023-11-05
9147,Rammed Earth,157,PlasticCycle,522.42,Miami,No,2023-01-13
9148,Bamboo Fiber,127,GreenBuild Ltd.,261.19,Los Angeles,Yes,2023-12-19
9149,Straw Bale,250,NatureBricks,1221.18,Miami,Yes,2023-09-22
9150,Straw Bale,170,GreenBuild Ltd.,400.59,Houston,No,2023-01-19
9151,Hempcrete,315,EarthInnovations,733.39,Seattle,Yes,2023-05-12
9152,Rammed Earth,110,NatureBricks,240.03,Houston,No,2023-09-02
9153,Rammed Earth,520,Sustainable Works,1520.72,Austin,No,2023-02-13
9154,Bamboo Fiber,984,Sustainable Works,2569.99,Miami,No,2023-06-20
9155,Hempcrete,498,GreenBuild Ltd.,1597.41,Los Angeles,Yes,2023-12-26
9156,Bamboo Fiber,505,EcoCement Co.,1322.58,Los Angeles,No,2023-10-28
9157,Geopolymer,678,NatureBricks,3105.9,Miami,Yes,2023-03-13
9158,Bamboo Fiber,276,EarthInnovations,624.83,New York,Yes,2023-11-29
9159,Hempcrete,156,EarthInnovations,315.55,San Francisco,Yes,2023-09-23
9160,Hempcrete,558,NatureBricks,2382.13,Seattle,No,2023-08-14
9161,Geopolymer,114,EcoCement Co.,495.73,Boston,No,2023-01-01
9162,Straw Bale,383,EarthInnovations,1576.93,Denver,No,2023-03-24
9163,Rammed Earth,859,GreenBuild Ltd.,1758.84,Houston,Yes,2023-12-12
9164,Bamboo Fiber,680,EarthInnovations,2870.54,Chicago,No,2023-04-22
9165,Recycled Plastic,669,NatureBricks,2711.18,Chicago,No,2023-05-17
9166,Recycled Plastic,315,Sustainable Works,888.22,Seattle,Yes,2023-09-23
